taxon,individual,latitude,longitude,number_teeth,glands,tooth_spacing,leaf_length_mm,leaf_width_mm,leaf_tip_exceeded_by_teeth,leaf_type,sun,date,site
erigeron_glaucus,1,40.89445,-124.14493,4;4,N,"5,6,6;5,6,4",24,11,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,1,40.89445,-124.14493,18;17,Y,"7,15,2;4,3,2",42,12,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,2,40.89437,-124.14501,3;3,N,"11,7;9,10",28,11,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,2,40.89437,-124.14501,12;14,Y,"5,4,5;4,3,6",35,14,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,3,40.89431,-124.1452,2;2,N,12;8,40,16,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,3,40.89431,-124.1452,24;24,Y,"2,3,3;3,2,2",51,16,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,4,40.89426,-124.14538,1;1,N,0;0,46,10,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,4,40.89426,-124.14538,16;19,N,"3,4,2;2,2,2",48,12,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,5,40.89439,-124.14508,2;2,N,"5,6;5,9",36,11,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,5,40.89439,-124.14508,19;15,Y,"4,5,5;2,5,2",52,19,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,6,40.89457,-124.14507,2;2,N,9;11,27,11,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,6,40.89457,-124.14507,6;7,Y,"4,3,3;3,3,3",33,15,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,7,40.89471,-124.14505,3;3,N,"13,4;18,8",43,18,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,7,40.89471,-124.14505,16;12,Y,"5,2,3;3,2,2",44,13,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,8,40.89486,-124.14502,2;2,N,12;13,30,15,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,8,40.89486,-124.14502,14;16,Y,"3,3,4;4,4,2",35,23,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,9,40.89497,-124.14501,2;2,N,6;15,38,11,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,9,40.89497,-124.14501,7;6,Y,"5,6,4;5,4,3",36,14,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,10,40.8951,-124.14511,2;3,N,"13;5,8",34,14,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,10,40.8951,-124.14511,15;13,Y,"3,4,3;7,4,4",50,16,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,11,40.89492,-124.14509,4;3,N,"8,10,8;6,5",39,13,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,11,40.89492,-124.14509,9;9,Y,"5,4,4;7,3,3",34,18,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,12,40.89484,-124.14514,1;2,N,0;10,32,13,N,BASAL,FULL,09.17.2021,Hollows_7
solidago_spathulata,12,40.89484,-124.14514,9;13,Y,"2,5,5;3,3,2",36,14,Y,BASAL,FULL,09.17.2021,Hollows_7
erigeron_glaucus,13,40.89553,-124.13315,4;4,N,"6,4,3;6,4,5",32,15,N,BASAL,FULL,09.18.2021,Shifting_dunes_entry
solidago_spathulata,13,40.89553,-124.13315,16;14,Y,"3,4,3;4,2,3",57,17,Y,BASAL,FULL,09.18.2021,Shifting_dunes_entry
erigeron_glaucus,14,40.89371,-124.14616,2;2,N,13;8,40,15,N,BASAL,FULL,09.18.2021,Vista
solidago_spathulata,14,40.89371,-124.14616,21;24,Y,"2,4,2;4,2,3",57,17,N,BASAL,FULL,09.18.2021,Vista
erigeron_glaucus,15,40.89389,-124.14622,2;3,N,"8;4,10",44,14,N,BASAL,FULL,09.18.2021,Vista
solidago_spathulata,15,40.89389,-124.14622,13;17,Y,"4,4,3;3,3,5",36,16,Y,BASAL,FULL,09.18.2021,Vista
erigeron_glaucus,16,40.89393,-124.14645,1;0,N,0;0,41,15,N,BASAL,FULL,09.18.2021,Vista
solidago_spathulata,16,40.89393,-124.14645,18;17,Y,"1,1,4;4,4,2",41,14,N,BASAL,FULL,09.18.2021,Vista
erigeron_glaucus,17,40.89517,-124.14857,0;0,N,0;0,41,13,N,BASAL,FULL,09.19.2021,Silver_Bee
solidago_spathulata,17,40.89517,-124.14857,14;16,Y,"2,5,5;4,4,3",45,16,N,BASAL,FULL,09.19.2021,Silver_Bee
erigeron_glaucus,18,40.89289,-124.1464,1;2,N,0;13,39,14,N,BASAL,FULL,09.19.2021,Silver_Bee
solidago_spathulata,18,40.89289,-124.1464,7;10,Y,"5,5,4;5,5,3",51,14,Y,BASAL,FULL,09.19.2021,Silver_Bee
erigeron_glaucus,19,40.89086,-124.14738,2;3,N,"20;20,15",60,23,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,19,40.89086,-124.14738,29;27,Y,"4,5,4;5,3,3",86,19,N,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,20,40.89081,-124.14725,2;2,N,15;14,51,18,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,20,40.89081,-124.14725,9;10,Y,"4,6,4;7,4,2",59,15,Y,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,21,40.89069,-124.14733,4;3,N,"6,7,11;20,4",59,17,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,21,40.89069,-124.14733,16;15,Y,"5,3,4;5,4,2",56,17,Y,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,22,40.89059,-124.14727,1;1,N,0;0,44,14,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,22,40.89059,-124.14727,13;15,Y,"2,4,8;1,7,5",57,19,N,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,23,40.89083,-124.14711,2;1,N,15;0,68,19,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,23,40.89083,-124.14711,17;17,Y,"5,7,3;6,3,4",52,19,Y,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,24,40.89067,-124.14707,1;2,N,0;13,44,14,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,24,40.89067,-124.14707,13;13,Y,"10,6,6;6,4,8",83,23,Y,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,25,40.89029,-124.14706,0;1,N,0;0,59,16,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,25,40.89029,-124.14706,24;23,Y,"5,2,2;3,2,4",60,16,N,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,26,40.89058,-124.14671,0;0,N,0;0,45,13,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,26,40.89058,-124.14671,23;21,Y,"4,3,3;3,4,4",85,17,N,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,27,40.89046,-124.14668,2;1,N,15;0,66,16,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,27,40.89046,-124.14668,21;25,Y,"12,4,2;8,5,4",110,27,Y,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,28,40.89032,-124.14651,0;0,N,0;0,70,20,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,28,40.89032,-124.14651,13;9,Y,"4;6,10;12,5,7",87,20,N,BASAL,FULL,09.19.2021,Sitka_Spruce
erigeron_glaucus,29,40.89003,-124.14638,3;1,N,"10,17;0",58,19,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,29,40.89003,-124.14638,15;16,Y,"10,5,3;6,3,5",70,15,N,BASAL,FULL,09.19.2021,Sitka_Spruce
solidago_spathulata,30,40.89396,-124.14574,18;17,Y,"8,3,2;4,2,3",124,18,N,BASAL,SHADE,09.25.2021,
solidago_spathulata,31,40.8946,-124.14463,19;17,Y,"4,6,5;5,8,6",97,35,Y,BASAL,SHADE,09.25.2021,
solidago_spathulata,32,40.89536,-124.14474,15;13,Y,"11,4,3;7,6,7",100,31,Y,BASAL,SHADE,09.25.2021,
solidago_spathulata,33,40.89557,-124.14485,9;9,Y,"5,3,11;5,5,4",62,22,Y,BASAL,SHADE,09.25.2021,
solidago_spathulata,34,40.89589,-124.14438,11;10,Y,"12,5,8;7,3,8",98,23,Y,BASAL,SHADE,09.25.2021,
morella_californica,35,40.89514,-124.14438,8;10,Y,"24,12,11;24,17,11",91,18,N,TREE,SHADE,09.25.2021,
erigeron_glaucus,36,40.8889,-124.14697,0;0,N,0;0,60,20,N,BASAL,FULL,09.25.2021,
solidago_spathulata,36,40.8889,-124.14697,14;13,Y,"5,2,4;7,1,2",43,13,N,BASAL,FULL,09.25.2021,
erigeron_glaucus,37,40.88895,-124.14659,4;4,N,"14,10,2;12,11,9",42,14,N,BASAL,FULL,09.25.2021,
solidago_spathulata,37,40.88895,-124.14659,31;29,Y,"6,4,2;7,6,4",97,19,N,BASAL,FULL,09.25.2021,
erigeron_glaucus,38,40.88975,-124.14648,2;2,N,12;15,44,18,N,BASAL,FULL,09.25.2021,
solidago_spathulata,38,40.88975,-124.14648,15;11,Y,"7,5,6;6,6,6",67,32,N,BASAL,FULL,09.25.2021,
erigeron_glaucus,39,40.8896,-124.14648,1;1,N,1;1,55,12,N,BASAL,FULL,09.25.2021,
solidago_spathulata,39,40.8896,-124.14648,12;15,Y,"10,7,9;6,9,6",91,24,N,CAULINE,FULL,09.25.2021,
erigeron_glaucus,40,40.88957,-124.14632,2;2,N,20;12,51,15,N,CAULINE,FULL,09.25.2021,
solidago_spathulata,40,40.88957,-124.14632,24;31,Y,"7,5,2;3,3,3",79,21,Y,BASAL,FULL,09.25.2021,
erigeron_glaucus,41,40.88923,-124.14617,0;0,N,0;0,58,16,N,BASAL,FULL,09.25.2021,
solidago_spathulata,41,40.88923,-124.14617,21;22,Y,"3,4,6;6,7,5",82,20,Y,BASAL,FULL,09.25.2021,
erigeron_glaucus,42,40.88904,-124.14592,0;0,N,0;0,40,10,N,CAULINE,FULL,09.25.2021,
solidago_spathulata,42,40.88904,-124.14592,17;17,Y,"5,4,3;8,2,4",70,16,N,BASAL,FULL,09.25.2021,
erigeron_glaucus,43,40.8858,-124.14561,2;3,N,"12;9,19",51,12,N,BASAL,FULL,09.25.2021,
solidago_spathulata,43,40.8858,-124.14561,32;22,Y,"3,3,5;10,4,4",85,22,N,BASAL,FULL,09.25.2021,
erigeron_glaucus,44,40.88881,-124.14556,4;3,N,"4,10,11;12,9",54,19,Y,BASAL,FULL,09.25.2021,
solidago_spathulata,44,40.88881,-124.14556,16;15,Y,"3,6,7;5,6,3",87,20,N,BASAL,FULL,09.25.2021,
erigeron_glaucus,45,40.88902,-124.14545,3;2,N,12;11;19,58,18,N,BASAL,FULL,09.25.2021,
solidago_spathulata,45,40.88902,-124.14545,7;6,N,"14,8,6;13,8,11",76,23,N,BASAL,FULL,09.25.2021,
erigeron_glaucus,46,40.88932,-124.14574,2;2,N,26;24,80,25,N,BASAL,FULL,09.25.2021,
solidago_spathulata,46,40.88932,-124.14574,22;20,Y,"5,5,3;9,4,3",85,21,N,BASAL,FULL,09.25.2021,
erigeron_glaucus,47,40.88957,-124.14577,0;0,N,0;0,47,13,N,CAULINE,FULL,09.25.2021,
solidago_spathulata,47,40.88957,-124.14577,10;12,Y,"6,6,3;5,4,5",41,17,Y,BASAL,FULL,09.25.2021,
erigeron_glaucus,48,40.88984,-124.14589,2;3,N,"11;17,14",42,13,N,BASAL,FULL,09.25.2021,
solidago_spathulata,48,40.88984,-124.14589,12;12,Y,"6,6,7;5,4,7",90,22,C,CAULINE,FULL,09.25.2021,
erigeron_glaucus,49,40.89008,-124.14598,1;2,N,0;14,39,16,N,BASAL,FULL,09.25.2021,
solidago_spathulata,49,40.89008,-124.14598,14;14,Y,"5,6,6;5,4,6",43,18,Y,BASAL,FULL,09.25.2021,
erigeron_glaucus,50,40.89054,-124.14613,0;0,N,0;0,35,14,N,BASAL,FULL,09.25.2021,
solidago_spathulata,50,40.89054,-124.14613,19;17,Y,"7,4,3;5,5,4",55,14,Y,BASAL,FULL,09.25.2021,
erigeron_glaucus,51,40.89377,-124.14677,0;0,N,0;0,43,14,N,CAULINE,FULL,09.25.2021,
solidago_spathulata,51,40.89377,-124.14677,10;8,Y,"5,7,3;8,5,4",36,15,Y,BASAL,FULL,09.25.2021,
solidago_spathulata,52,40.89438,-124.14737,9;9,N,"13,7,15;10,12,9",101,24,Y,BASAL,SHADE,09.25.2021,
solidago_spathulata,53,40.89436,-124.14751,10;10,N,"8,5,7;4,5,4",91,23,Y,BASAL,SHADE,09.25.2021,
erigeron_glaucus,54,40.89468,-124.14889,3;3,N,"12,13;13,9",57,15,N,BASAL,FULL,09.25.2021,
solidago_spathulata,54,40.89468,-124.14889,26;29,Y,"3,4,3;5,3,2",67,22,Y,BASAL,FULL,09.25.2021,
erigeron_glaucus,55,40.89451,-124.1489,1;2,N,0;19,65,18,N,BASAL,FULL,09.25.2021,
solidago_spathulata,55,40.89451,-124.1489,21;23,Y,"5,3,6;4,4,4",71,27,N,BASAL,FULL,09.25.2021,
erigeron_glaucus,56,40.89455,-124.14915,0;0,N,0;0,48,11,N,CAULINE,FULL,09.25.2021,
solidago_spathulata,56,40.89455,-124.14915,19;25,Y,"6,5,4;7,5,3",84,16,Y,BASAL,FULL,09.25.2021,
erigeron_glaucus,57,40.89477,-124.14918,2;1,N,9;0,48,11,N,BASAL,FULL,09.25.2021,
solidago_spathulata,57,40.89477,-124.14918,14;13,Y,"13,10,8;11,5,5",95,27,N,CAULINE,FULL,09.25.2021,
erigeron_glaucus,58,40.89508,-124.14888,0;0,N,0;0,39,13,N,CAULINE,FULL,09.25.2021,
solidago_spathulata,58,40.89508,-124.14888,11;10,Y,"12,7,11;6,10,9",109,35,N,BASAL,FULL,09.25.2021,
solidago_spathulata,59,40.89428,-124.14491,15;11,Y,"6,7,5;12,12,13",129,31,N,BASAL,SHADE,09.25.2021,
solidago_spathulata,60,40.89396,-124.14493,14;19,Y,"6,6,7;3,4,6",54,20,Y,BASAL,SHADE,09.25.2021,
solidago_spathulata,61,40.89362,-124.14479,11;13,Y,"11,4,6;5,8,12",94,23,N,BASAL,SHADE,09.25.2021,
solidago_spathulata,62,40.89388,-124.14445,13;14,Y,"4,2,3;5,2,4",49,18,Y,BASAL,SHADE,09.25.2021,
solidago_spathulata,63,40.89228,-124.14689,17;21,Y,"3,5,3;6,6,3",57,19,N,BASAL,SHADE,09.25.2021,
solidago_spathulata,64,40.89214,-124.14698,10;9,Y,"4,3,5;6,3,4",66,17,Y,BASAL,SHADE,09.26.2021,
solidago_spathulata,65,40.89188,-124.14697,4;6,Y,"12,4,11;20,10,5",69,20,N,BASAL,SHADE,09.26.2021,
solidago_spathulata,66,40.8915,-124.14722,14;12,Y,"4,3,7;12,6,6",87,28,Y,BASAL,SHADE,09.26.2021,
solidago_spathulata,67,40.89172,-124.14755,14;12,Y,"7,10,5;3,6,6",64,20,N,BASAL,SHADE,09.26.2021,
solidago_spathulata,68,40.89185,-124.14767,12;12,Y,"8,4,2;4,6,4",48,17,Y,BASAL,SHADE,09.26.2021,
solidago_spathulata,69,40.89198,-124.14776,10;8,Y,,106,25,N,BASAL,SHADE,09.26.2021,
solidago_spathulata,70,40.89121,-124.14755,14;14,Y,"7,7,8;3,4,5",98,24,N,BASAL,SHADE,09.26.2021,
solidago_spathulata,71,40.89131,-124.14777,6;7,Y,"3,2,7;5,3,10",89,19,N,BASAL,SHADE,09.26.2021,
solidago_spathulata,72,40.89149,-124.1479,17;20,Y,"4,5,4;3,4,7",109,30,N,BASAL,SHADE,09.26.2021,
solidago_spathulata,73,40.89159,-124.14842,13;12,Y,"2,3,3;5,9,6",81,21,Y,BASAL,SHADE,09.26.2021,
erigeron_glaucus,74,40.89269,-124.14918,1;1,N,0;0,41,13,N,BASAL,FULL,09.26.2021,
solidago_spathulata,74,40.89269,-124.14918,18;20,Y,"3,4,4;5,3,4",67,19,Y,BASAL,FULL,09.26.2021,
erigeron_glaucus,75,40.89294,-124.14939,2;2,N,16;15,68,17,N,BASAL,FULL,09.26.2021,
solidago_spathulata,75,40.89294,-124.14939,17;18,Y,"6,6,6;7,2,4",84,15,N,BASAL,FULL,09.26.2021,
erigeron_glaucus,76,40.89183,-124.14588,1;0,N,0;0,64,14,N,BASAL,FULL,09.26.2021,
solidago_spathulata,76,40.89183,-124.14588,16;17,Y,"6,4,4;5,3,3",65,18,N,BASAL,FULL,09.26.2021,
solidago_spathulata,77,40.89272,-124.14568,19;13,Y,"7,4,6;8,6,6",92,25,Y,BASAL,SHADE,09.26.2021,
solidago_spathulata,78,40.89229,-124.1441,12;8,Y,"6,5,2;5,4,10",102,23,N,BASAL,SHADE,09.26.2021,
solidago_spathulata,79,40.89208,-124.14403,10;11,Y,"11,5,3;5,4,5",88,20,N,BASAL,SHADE,09.26.2021,
solidago_spathulata,80,40.89182,-124.14398,9;11,Y,"7,7,8;4,8,5",86,18,N,BASAL,SHADE,09.26.2021,
solidago_spathulata,81,40.89155,-124.14381,15;16,Y,"7,8,7;8,9,4",95,22,N,BASAL,SHADE,09.26.2021,
